===================================================================================
user name: toto
game name: CartPole-v0
number of simulations: 1
number of epochs: 300
max score: 200
===================================================================================
types array: ['in', 'mlp', 'out']
weights array: [-1, 0.18636298764849027, -1]
rewards array: [-1, 0.06957097548475873, -1]
punishs array: [-1, -0.1560650012178876, -1]
inner sizes_array: [[], [34, 1], []]
links array: [[1], [2], []]
===================================================================================
rl_gamma: 0.6
rl_epsilon: 0.1
was_loaded: False
===================================================================================
simulation: 0, epoch: 245, score: 200
simulation: 0, epoch: 246, score: 200
simulation: 0, epoch: 247, score: 200
simulation: 0, epoch: 248, score: 200
simulation: 0, epoch: 249, score: 200
simulation: 0, epoch: 250, score: 200
simulation: 0, epoch: 251, score: 200
simulation: 0, epoch: 252, score: 200
simulation: 0, epoch: 253, score: 200
simulation: 0, epoch: 254, score: 200
simulation: 0, epoch: 255, score: 200
simulation: 0, epoch: 256, score: 200
simulation: 0, epoch: 257, score: 200
simulation: 0, epoch: 258, score: 200
simulation: 0, epoch: 259, score: 200
simulation: 0, epoch: 260, score: 200
simulation: 0, epoch: 261, score: 200
simulation: 0, epoch: 262, score: 200
simulation: 0, epoch: 263, score: 200
simulation: 0, epoch: 264, score: 200
simulation: 0, epoch: 265, score: 200
simulation: 0, epoch: 266, score: 200
simulation: 0, epoch: 267, score: 200
simulation: 0, epoch: 268, score: 200
simulation: 0, epoch: 269, score: 200
simulation: 0, epoch: 270, score: 200
simulation: 0, epoch: 271, score: 200
simulation: 0, epoch: 272, score: 200
simulation: 0, epoch: 273, score: 200
simulation: 0, epoch: 274, score: 200
simulation: 0, epoch: 275, score: 200
simulation: 0, epoch: 276, score: 200
simulation: 0, epoch: 277, score: 200
simulation: 0, epoch: 278, score: 200
simulation: 0, epoch: 279, score: 200
simulation: 0, epoch: 280, score: 200
simulation: 0, epoch: 281, score: 200
simulation: 0, epoch: 282, score: 200
simulation: 0, epoch: 283, score: 200
simulation: 0, epoch: 284, score: 200
simulation: 0, epoch: 285, score: 200
simulation: 0, epoch: 286, score: 200
simulation: 0, epoch: 287, score: 200
simulation: 0, epoch: 288, score: 200
simulation: 0, epoch: 289, score: 200
simulation: 0, epoch: 290, score: 200
simulation: 0, epoch: 291, score: 200
simulation: 0, epoch: 292, score: 200
simulation: 0, epoch: 293, score: 200
simulation: 0, epoch: 294, score: 32
simulation: 0, epoch: 295, score: 200
simulation: 0, epoch: 296, score: 200
simulation: 0, epoch: 297, score: 200
simulation: 0, epoch: 298, score: 200
simulation: 0, epoch: 299, score: 200
